address,name
0x533E00,aDataAssetsMain_40
0x533E47,byte_533E47
0x533E48,aDataAssetsMain_41
0x533E90,aDataAssetsMain_42
0x533ED9,unk_533ED9
0x533EE0,aDataAssetsMain_43
0x533F2A,unk_533F2A
0x533F30,aDataAssetsMain_44
0x533F7A,unk_533F7A
0x533F80,aDataAssetsMain_45
0x533FC8,aDataAssetsMain_46
0x534012,unk_534012
0x534018,aDataAssetsMain_47
0x534062,unk_534062
0x534068,aDataAssetsMain_48
0x5340B2,unk_5340B2
0x5340B8,aDataAssetsMain_49
0x534102,unk_534102
0x534108,aDataAssetsMain_50
0x534150,aDataAssetsMain_51
0x534199,unk_534199
0x5341A0,aDataAssetsMain_52
0x5341E9,unk_5341E9
0x5341F0,aDataAssetsMain_53
0x534239,unk_534239
0x534240,aDataAssetsMain_54
0x534288,aDataAssetsMain_55
0x5342D0,aDataAssetsMain_56
0x534318,aDataAssetsMain_57
0x534361,unk_534361
0x534368,aDataAssetsMain_58
0x5343B2,unk_5343B2
0x5343B8,aDataAssetsMain_59
0x534402,unk_534402
0x534408,aDataAssetsMain_60
0x534451,unk_534451
0x534458,aDataAssetsMain_61
0x5344A0,aDataAssetsMain_62
0x5344E8,aDataAssetsMain_63
0x534532,unk_534532
0x534538,aDataAssetsMain_64
0x534580,aDataAssetsValk
0x5345D4,dword_5345D4
0x5345D8,aDataAssetsValk_0
0x53462C,dword_53462C
0x534630,aDataAssetsValk_1
0x53467D,unk_53467D
0x534680,aDataAssetsValk_2
0x5346D4,dword_5346D4
0x5346D8,aDataAssetsValk_3
0x534725,unk_534725
0x534728,aDataAssetsMain_65
0x53476F,byte_53476F
0x534770,aDataAssetsMain_66
0x5347B7,byte_5347B7
0x5347B8,aDataAssetsMain_67
0x53480A,unk_53480A
0x534810,aDataAssetsMain_68
0x534860,aDataAssetsMain_69
0x5348B1,unk_5348B1
0x5348B8,aDataAssetsMain_70
0x53490A,unk_53490A
0x534910,aDataAssetsMain_71
0x534962,unk_534962
0x534968,aDataAssetsMain_72
0x5349B8,aDataAssetsMain_73
0x534A0A,unk_534A0A
0x534A10,aDataAssetsMain_74
0x534A60,aDataAssetsMain_75
0x534AAE,word_534AAE
0x534AB0,aDataAssetsMain_76
0x534AFF,byte_534AFF
0x534B00,aDataAssetsMain_77
0x534B50,aDataAssetsMain_78
0x534BA1,unk_534BA1
0x534BA8,aDataAssetsMain_79
0x534BFA,unk_534BFA
0x534C00,aDataAssetsMain_80
0x534C52,unk_534C52
0x534C58,aDataAssetsMain_81
0x534CA8,aDataAssetsMain_82
0x534CFA,unk_534CFA
0x534D00,aDataAssetsMain_83
0x534D52,unk_534D52
0x534D58,aDataAssetsMain_84
0x534DAA,unk_534DAA
0x534DB0,aDataAssetsMain_85
0x534E02,unk_534E02
0x534E08,aDataAssetsMain_86
0x534E58,aDataAssetsMain_87
0x534EA9,unk_534EA9
0x534EB0,aDataAssetsMain_88
0x534F01,unk_534F01
0x534F08,aDataAssetsMain_89
0x534F59,unk_534F59
0x534F60,aDataAssetsMain_90
0x534FB0,aDataAssetsMain_91
0x535000,aDataAssetsMain_92
0x535050,aDataAssetsMain_93
0x5350A1,unk_5350A1
0x5350A8,aDataAssetsMain_94
0x5350FA,unk_5350FA
0x535100,aDataAssetsMain_95
0x535152,unk_535152
0x535158,aDataAssetsMain_96
0x5351A9,unk_5351A9
0x5351B0,aDataAssetsMain_97
0x535200,aDataAssetsMain_98
0x535250,aDataAssetsMain_99
0x5352A2,unk_5352A2
0x5352A8,aDataAssetsMain_100
0x5352F8,aDataAssetsValk_4
0x535354,dword_535354
0x535358,aDataAssetsValk_5
0x5353B4,dword_5353B4
0x5353B8,aDataAssetsValk_6
0x53540D,unk_53540D
0x535410,aDataAssetsValk_7
0x53546C,dword_53546C
0x535470,aDataAssetsValk_8
0x5354C5,unk_5354C5
0x5354C8,aDataAssetsMain_101
0x535517,byte_535517
0x535518,aDataAssetsMain_102
0x535567,byte_535567
